Extruder 1 current,Extruder speed,Extruder 1 head pressure,Extruder 1 head temperature,Calender 1 current,Calender 1 speed,Calender 1 film temperature,Calender 1 drive side roller distance,Calender 1 operation side roller distance,"Calender 1 drive side
Upper chamber pressure","Calvestor 1 drive side
Lower chamber pressure ","Calender 1 operating side
Upper chamber pressure ","Calves 1 operating side
Lower chamber pressure",calender width,Thickness measurement drive side,thickness measurement operation side
367.65,3.51,2.93,82.35,57.98,3,80.02,1.23,1.22,49.6,38.48,33.97,47.99,704.6,1.17,1.27
367.65,3.51,2.93,82.35,58.02,2.99,80.04,1.23,1.22,49.45,38.41,33.54,47.53,704.6,1.17,1.27
372.4,3.5,2.92,82.35,58.07,3,79.91,1.23,1.22,46.93,35.61,30.62,44.7,704.7,1.17,1.27
375.65,3.49,2.92,82.36,58.07,2.99,79.91,1.23,1.22,50,38.99,34.08,48.24,704.7,1.17,1.27
379.63,3.49,2.92,82.36,58.07,3,79.92,1.23,1.22,48.38,37.13,32.81,46.67,705.1,1.17,1.27
383.17,3.5,2.92,82.36,58.08,3,79.92,1.23,1.22,50.94,39.54,35.07,48.97,704.9,1.17,1.27
384.01,3.5,2.92,82.36,58.09,3,79.88,1.23,1.22,49.76,38.23,33.81,47.87,704.4,1.17,1.27
382.47,3.52,2.92,82.36,58.19,3,79.83,1.23,1.22,47.09,35.81,30.82,44.85,704.4,1.18,1.27
384.81,3.5,2.92,82.37,58.19,3,79.8,1.23,1.22,47.09,37.79,30.82,44.85,704.4,1.18,1.27
383.75,3.52,2.92,82.37,58.32,3,79.79,1.23,1.22,48.82,37.56,33.27,46.95,704.5,1.18,1.27
382.36,3.52,2.93,82.38,58.34,3,79.77,1.23,1.22,48.13,36.87,32.25,46.47,704.7,1.18,1.27
382,3.51,2.93,82.37,58.34,3,79.79,1.23,1.22,48.13,37.68,33.01,46.47,704.7,1.18,1.27
379.01,3.52,2.93,82.39,58.32,3,79.83,1.23,1.22,47.33,35.84,31.07,45.3,705.3,1.18,1.28
375.28,3.53,2.93,82.38,58.33,3,79.83,1.23,1.22,48.45,37.04,32.21,46.33,705.1,1.18,1.28
373.42,3.52,2.93,82.38,58.34,3,79.76,1.23,1.22,49.9,38.64,33.58,47.75,704.6,1.18,1.28
373.42,3.52,2.92,82.38,58.34,3,79.76,1.23,1.22,49.9,38.64,33.58,47.75,704.6,1.18,1.28
373.35,3.5,2.92,82.39,58.26,3,79.81,1.23,1.22,50.45,39.07,34.23,48.48,704.5,1.18,1.28
375.32,3.5,2.92,82.39,58.34,3,79.81,1.23,1.23,46.03,34.68,29.22,43.8,704.6,1.19,1.28
378.46,3.5,2.92,82.38,58.34,3,79.88,1.23,1.22,49.51,37.84,33.4,47.26,705.2,1.19,1.28
379.55,3.5,2.92,82.39,58.29,3,79.88,1.23,1.22,50.38,38.54,34.01,48.02,705.3,1.19,1.28
380.83,3.51,2.92,82.38,58.31,3,79.97,1.23,1.22,45.01,33.33,28.76,43.05,705.4,1.19,1.28
384.81,3.49,2.92,82.39,58.38,3,80.02,1.23,1.22,49.1,37.83,33.11,47.29,705.5,1.19,1.28
387.55,3.5,2.92,82.39,58.38,3,80.02,1.23,1.22,49.1,37.83,33.11,47.29,705.5,1.19,1.28
387.55,3.53,2.92,82.39,58.42,3,79.96,1.23,1.22,46.52,34.17,30.05,43.88,705,1.19,1.28
380.25,3.52,2.92,82.39,58.42,2.99,79.95,1.23,1.22,47.93,36.58,31.81,45.95,705.2,1.19,1.28
377.4,3.52,2.93,82.39,58.36,3,79.89,1.23,1.22,50.93,39.36,34.91,48.8,704.9,1.19,1.29
374.81,3.52,2.93,82.39,58.36,3,79.89,1.23,1.22,50.93,39.36,34.91,48.8,704.9,1.19,1.29
373.82,3.51,2.93,82.4,58.4,3,79.9,1.23,1.22,50,38.45,33.95,47.74,705.1,1.19,1.28
373.82,3.51,2.93,82.4,58.36,3,79.9,1.23,1.22,52.16,40.18,35.94,49.78,705.2,1.19,1.29
373.13,3.53,2.93,82.4,58.28,3,79.9,1.23,1.22,44.9,33.41,28.49,42.94,705.5,1.2,1.29
371.01,3.52,2.93,82.41,58.34,3,79.82,1.23,1.22,48.76,36.8,32.37,46.39,705.2,1.2,1.29
373.68,3.5,2.92,82.4,58.4,3,79.88,1.23,1.22,50.45,38.77,34.16,48.19,705,1.2,1.29
372.4,3.52,2.92,82.41,58.31,3,79.93,1.23,1.22,52.06,40.15,35.58,49.73,704.9,1.2,1.3
369.33,3.53,2.92,82.41,58.31,3,79.93,1.23,1.22,52.06,40.15,35.58,49.73,704.9,1.2,1.3
366.92,3.52,2.91,82.42,58.42,2.99,79.94,1.23,1.22,52.73,41.39,34.71,49.17,705.1,1.2,1.3
364.04,3.52,2.91,82.41,58.42,3,79.97,1.23,1.22,46.59,34.86,29.91,44.45,705.1,1.2,1.3
363.27,3.52,2.91,82.42,58.42,3,79.97,1.23,1.22,46.59,34.86,29.91,44.45,705.5,1.2,1.3
363.27,3.51,2.91,82.41,58.43,2.99,79.95,1.23,1.22,48.13,36.71,31.81,46.38,705.6,1.2,1.3
362.69,3.51,2.9,82.41,58.41,3,79.92,1.23,1.22,54.43,42.31,37.71,51.9,705.3,1.2,1.3
360.32,3.52,2.9,82.41,58.38,3,79.94,1.23,1.22,48.37,36.56,31.92,46.4,705.1,1.2,1.29
